"ORIGEN","DESTINO","CONCESIÓN","OPERADOR","TIPO","OBSERVACIONES"
"Villarente","Mansilla De Las Mulas","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Villavidel","Mansilla De Las Mulas","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Villimer","Mansilla De Las Mulas","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Cillaperlata","Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Nofuentes","Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Foncastín","Tordesillas","TR-012","Juan José Sánchez Erce","Regular",NA
"Matapozuelos","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Muriel","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Pozaldez","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Ramiro","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"San Pablo De La Moraleja","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Torrecilla","Medina Del Campo","TR-005","Yolanda Bellido Ruiz","Regular",NA
"Villsanz","Medina Del Campo","TR-005","Yolanda Bellido Ruiz","Regular",NA
"Adalia","Mota Del Marqués","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Benafarces","Mota Del Marqués","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Benafarces","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Gallegos De Hornija","Mota Del Marqués","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Narros Del Puerto","Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Villaviciosa","Muñana","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Cabezas Del Villar","Muñico","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Narrillos Del Rebollar","Muñico","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Rivillas De La Cañada","Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Rivillas De La Cañada","Muñico","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Solana De Rioalmar","Muñico","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Beratón","Ólvega","VAC-076","Transportes Hernández Palacio,
S.A. (THERPASA)","Regular",NA
"Muro","Ólvega","VAC-076","Transportes Hernández Palacio,
S.A. (THERPASA)","Regular",NA
"Tajahuerce","Ólvega","VAC-076","Transportes Hernández Palacio,
S.A. (THERPASA)","Regular",NA
"Hijosa De Boedo","Osorno","VACL-038","Linecar, S.A.","Regular",NA
"Las Cabañas De Castilla","Osorno","VACL-038","Linecar, S.A.","Regular",NA
"Bocos De Duero","Peñafiel","VACL-160","Autocares de las Heras, S.L.","Regular",NA
"Cogeces Del Monte","Peñafiel","VACL-126","Linecar, S.A.","Regular",NA
"Roturas","Peñafiel","VACL-160","Autocares de las Heras, S.L.","Regular",NA
"Aldearrubia","Villares De La Reina","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Aldehuela De Los Guzmanes","Villares De La Reina","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Carbajosa De Armuña","Garrido Norte","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Carrascal","Garrido Norte","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Gudino","Garrido Norte","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"La Granja","Villares De La Reina","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Urbanización Las Cecilias","Garrido Norte","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"El Álamo","Piedrahita","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Pascualcorbo","Piedrahita","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Almázcara","Ponferrada","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Cabañas Raras","Ponferrada","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Cacabelos","Ponferrada","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Ozuela","Ponferrada","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Villavieja","Ponferrada","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Anllares","Ponferrada","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"El Castro","Ponferrada","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Arrabal De Portillo","Portillo","VACL-126","Linecar, S.A.","Regular",NA
"Arrabal De Portillo","Viloria","VACL-126","Linecar, S.A.","Regular",NA
"Montemayor De Pililla","Arrabal De Portillo","VACL-126","Linecar, S.A.","Regular",NA
"Calabor","Puebla De Sanabria","VACL-150","Autos Álvarez de Viajeros, S.L.","Regular",NA
"Escuredo","Puebla De Sanabria","VACL-150","Autos Álvarez de Viajeros, S.L.","Regular",NA
"Requejo","Puebla De Sanabria","VACL-150","Autos Álvarez de Viajeros, S.L.","Regular",NA
"Rihonor","Puebla De Sanabria","VACL-150","Autos Álvarez de Viajeros, S.L.","Regular",NA
"San Juan De La Cuesta","Puebla De Sanabria","VACL-150","Autos Álvarez de Viajeros, S.L.","Regular",NA
"San Román","Puebla De Sanabria","VACL-150","Autos Álvarez de Viajeros, S.L.","Regular",NA
"Renedo De Esgueva","Urbanización Cotanillo","VACL-159","Autocares Discrecionales Vallisoletanos, S.L. (AUTODIVAL)","Regular",NA
"Renedo De Esgueva","Villarmentero De Esgueva","VACL-159","Autocares Discrecionales Vallisoletanos, S.L. (AUTODIVAL)","Regular",NA
"Urb. Puerta De Casasola","Renedo De Esgueva","VACL-159","Autocares Discrecionales Vallisoletanos, S.L. (AUTODIVAL)","Regular",NA
"Caín","Riaño","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"La Uña","Riaño","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Llánaves","Riaño","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Riaño","Horcadas","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Soto De Sajambre","Riaño","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Alcoba","Carrizo","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Antoñán","Benavides","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Barrio","Benavides","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Estébanez","Benavides","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Huerga","Benavides","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Morriondo","Benavides De Órbigo","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Morriondo","Carrizo De La Ribera","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Quiñones","Carrizo","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Santibáñez","Benavides","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Velilla","Benavides","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Villarroquel","Benavides","VACL-112","Busletrans, S.L.U.","Regular",NA
"Villaviciosa","Benavides","VACL-112","Busletrans, S.L.U.","Regular",NA
"Nistal","Veguellina De Órbigo","AECL-107","Blas Fernández, S.L.","Regular",NA
"Boada De Roa","Roa De Duero","VACL-139","Autocares de las Heras, S.L.","Regular",NA
"Haza","Roa De Duero","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Nava De Roa","Roa De Duero","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Terradillos De Esgueva","Roa De Duero","VACL-139","Autocares de las Heras, S.L.","Regular",NA
"Valcabado De Roa","Roa De Duero","VACL-139","Autocares de las Heras, S.L.","Regular",NA
"Villatuelda","Roa De Duero","VACL-139","Autocares de las Heras, S.L.","Regular",NA
"Arcayos","Sahagún","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Arenillas De Valderaduey","Sahagún","VACL-038","Linecar, S.A.","Regular",NA
"Bercianos Del Real Camino","Sahagún","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Castrotierra De Valmadrigal","Sahagún","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Celada De Cea","Sahagún","VACL-038","Linecar, S.A.","Regular",NA
"Escobar De Campos","Sahagún","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Renedo De Valderaduey","Sahagún","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Villamizar","Sahagún","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Villaselán","Sahagún","VACL-091","Autocares Castilla y León, S.A.U.","Regular",NA
"Villeza","Sahagún","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Albala De La Vega","Saldaña","VACL-107","Linecar, S.A.","Regular",NA
"Saldaña","Valcabadillo","VACL-107","Linecar, S.A.","Regular",NA
"Torremocha","San Esteban De Gormaz","AECL-087","Hijos de Ángel Arribas, S.L.U.","Regular","Martes"
"Torremocha","San Esteban De Gormaz","AECL-087","Hijos de Ángel Arribas, S.L.U.","Regular","Viernes"
"San Martín De Las Cabezas","San Pedro Del Arroyo","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Diustes","San Pedro Manrique","VAC-227","Autobuses Jiménez, S.L.","Regular",NA
"Valduérteles","San Pedro Manrique","VAC-227","Autobuses Jiménez, S.L.","Regular",NA
"Verguizas","San Pedro Manrique","VAC-227","Autobuses Jiménez, S.L.","Regular",NA
"Vizmanos","San Pedro Manrique","VAC-227","Autobuses Jiménez, S.L.","Regular",NA
"Barrio Buenos Aires","Santa María Del Páramo","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Fontecha","Santa María Del Páramo","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"La Mata Del Páramo","Santa María Del Páramo","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Villaestrigo Del Páramo","Santa María Del Páramo","VACL-161","Autocares Castilla y León, S.A.U.","Regular",NA
"Aldeanueva De La Serrezuela","Sepúlveda","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"Cedillo De La Torre","Sepúlveda","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"Pradales","Sepúlveda","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"Aniago","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"La Negralada","Serrada","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Medina Del Campo","Serrada","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Villalba De Adaja","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Fresnedilla","Sotillo De La Adrada","VAC-224","La Veloz, S.A.","Regular",NA
"Las Lastras","Sotillo De La Adrada","VAC-224","La Veloz, S.A.","Regular",NA
"Pinar Del Valle","Sotillo De La Adrada","VAC-224","La Veloz, S.A.","Regular",NA
"Cabañas De Aliste","Tábara","VACL-135","Autobuses Carbajo, S.L.","Regular",NA
"Moreruela De Tábara","Tábara","VACL-144","Empresa Vaquero, S.L.","Regular",NA
"Villaveza","Tábara","VACL-144","Empresa Vaquero, S.L.","Regular",NA
"Camarzana De Tera","La Bañeza","VACL-050","Blas Fernández, S.L.","Regular",NA
"Monte De San Lorenzo","Tordesillas","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"Robladillo","Tordesillas","VACL-027","Autocares Castilla y León, S.A.U.","Regular",NA
"Villamarciel","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Argayo Del Sil","Toreno","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Cobos De Cerrato","Torquemada","AECL-050","Linecar, S.A.","Regular",NA
"Quintana Del Puente","Torquemada","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Ajarte","Miranda De Ebro","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Regular",NA
"Ajarte","Treviño","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Arrieta","Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Ascarza","Treviño","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Regular",NA
"Busto De Treviño","Treviño","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Regular",NA
"Moraza","Treviño","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Muergas","Treviño","VACL-110","Autobuses Urbanos Ángel Herrera, S.L.","Regular",NA
"Obecuri","Miranda De Ebro","AECL-116","Autocares Castilla y León, S.A.U.","Regular",NA
"Obecuri","Treviño","AECL-116","Autocares Castilla y León, S.A.U.","Regular",NA
"San Martín De Galvarín","Treviño","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Zurbitu","Treviño","AECL-116","Autocares Castilla y León, S.A.U.","Regular",NA
"El Otero","Tudela De Duero","VACL-151","Linecar, S.A.","Regular",NA
"La Parrilla","Tudela De Duero","VACL-151","Linecar, S.A.","Regular",NA
"Santibáñez De Valcorba","Tudela De Duero","VACL-151","Linecar, S.A.","Regular",NA
"Benamariel","Valencia De Don Juan","VACL-118","Julián Javier Larrauri González","Regular",NA
"Cabañas","Valencia De Don Juan","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Fontanil","Valencia De Don Juan","VACL-038","Linecar, S.A.","Regular",NA
"Fuentes","Valencia De Don Juan","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Jabares","Valencia De Don Juan","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Mayorga","Valencia De Don Juan","VACL-118","Julián Javier Larrauri González","Regular",NA
"Mayorga","Valencia De Don Juan","VACL-118","Julián Javier Larrauri González","Regular","Jueves"
"Velilla","Valencia De Don Juan","VACL-096","Autocares Castilla y León, S.A.U.","Regular",NA
"Villaornate","Valencia De Don Juan","VACL-038","Linecar, S.A.","Regular",NA
"Cubilla","Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Cubilla","Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Cubilla","Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Hedeso","Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Hedeso","Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Miranda De Ebro","Villarcayo","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Pajares","Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"San Martín De Don","Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"San Martín De Don","Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Tobalinilla","Medina De Pomar","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Tobalinilla","Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Valderrama","Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Valujera","Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Valujera","Quintana Martín Galíndez","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Villarcayo","Nofuentes","VACL-129","Autobuses Barredo, S.L.","Regular","Miércoles"
"Villarcayo","Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Regular","Miércoles"
"Nofuentes","Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Regular","Miércoles"
"Villarcayo","Nofuentes","VACL-129","Autobuses Barredo, S.L.","Regular","Lunes"
"Villarcayo","Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Regular","Lunes"
"Nofuentes","Miranda De Ebro","VACL-129","Autobuses Barredo, S.L.","Regular","Lunes"
"Ameyugo","Miranda De Ebro","AECL-011","Autobuses Barredo, S.L.","Regular",NA
"Barruelo","Villarcayo","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Bedón","Villarcayo","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Escaño","Villarcayo","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Panizares","Villarcayo","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Salazar","Villarcayo","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Villanueva La Lastra","Villarcayo","VACL-129","Autobuses Barredo, S.L.","Regular",NA
"Cabeza Del Caballo","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Fonfría","Vitigudino","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Gansinos","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Peñalvo","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Picones","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"San Cristóbal","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Trabanca","Vitigudino","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Villavieja","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"El Arenal","Arenas De San Pedro","VACL-149","Muñoz Travel, S.L.","Regular",NA
"San Martín De La Vega Del Alberche","Fonda De Santa Teresa","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Santa Cruz Del Valle","Cuevas Del Valle","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Congosto","Villadiego","AECL-012","Negrete Bus, S.L.","Regular",NA
"Congosto","Sandoval De La Reina","AECL-012","Negrete Bus, S.L.","Regular",NA
"Guadilla De Villamar","Sotresgudo","AECL-015","Negrete Bus, S.L.","Regular",NA
"Guadilla De Villamar","Villadiego","AECL-015","Negrete Bus, S.L.","Regular",NA
"Peones","Sotresgudo","AECL-015","Negrete Bus, S.L.","Regular",NA
"Argenteiro","Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Burbia","Vega De Espinareda","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Campañana","Carucedo","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Castañeiras","Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Castañoso","Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Cela","Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Chandevillar","Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Corrales Del Vino","Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Dragonte","Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"El Portelo","Ambasmestas","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Güimil","Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"La Braña","Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"La Laguna","Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Laballós","Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Lago De Carucedo","Carucedo","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Melezna","Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Moral De Valcarce","Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Orellán","Carucedo","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"San Pedro De Trones","Puente De Domingo Flórez","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Sotillo De Cabrera","Puente De Domingo Flórez","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Tombrio De Abajo","Fabero","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Villar De Corrales","Villafranca Del Bierzo","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Villariños","Vega De Valcarce","AECL-037","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Voces","Las Ventas De Borrenes","VACL-146","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Belmonte De Campos","Villarramiel","VACL-038","Linecar, S.A.","Regular",NA
"Boadilla De Rioseco","Villada","VACL-038","Linecar, S.A.","Regular",NA
"Cardeñosa De Volpejera","Paredes De Nava","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Cisneros","Villada","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Fuentes De Nava","Paredes De Nava","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Población De Cerrato","Palencia","VACL-102","Autocares Tejedor H., S.L.","Regular",NA
"Pozo De Urama","Palencia","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Terradillos De Los Templarios","Villada","VACL-038","Linecar, S.A.","Regular",NA
"Valdecañas De Cerrato","Baltanás","AECL-051","Autocares Antolín, S.L.","Regular",NA
"Vallejera","Villodrigo","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Villamartín De Campos","Villarramiel","VACL-038","Linecar, S.A.","Regular",NA
"Villanueva Del Rebollar","Paredes De Nava","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Alaraz","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Amatos De Alba","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Bocacara","Tamames","VACL-072","Viagón Autocares, S.L.","Regular",NA
"Cruce Cuatro Calzadas","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Malpartida","Macotera","VACL-068","Autocares Galán Gómez, S.L.","Regular",NA
"Malpartida","Peñaranda De Bracamonte","VACL-068","Autocares Galán Gómez, S.L.","Regular",NA
"Palomares De Alba","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Segoyuela","Tamames","VACL-076","Adojaju, S.L.","Regular",NA
"Tamames","Linares De Riofrío","VACL-076","Adojaju, S.L.","Regular",NA
"Valdecarros","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Valverde De Valdelacasa","Ledrada","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Campillo De Aranda","Boceguillas","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"Cilleruelo De San Mamés","Boceguillas","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"Villalpando","Villanueva Del Campo","VACL-038","Linecar, S.A.","Regular",NA
"El Bohodón","Árevalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Gutierremuñoz","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Montuenga","Arévalo I","VACL-123","Linecar, S.A.","Regular",NA
"Coto De Puente Viejo","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Adanero","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Madrigal De Las Altas Torres","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Horcajo De Las Torres","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cabizuela","Arévalo","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Montuenga","Arévalo Ii","VACL-123","Linecar, S.A.","Regular",NA
"San Estéban Del Valle","Arenas De San Pedro","VAC-224","La Veloz, S.A.","Regular",NA
"Villarejo Del Valle","Arenas De San Pedro","VAC-224","La Veloz, S.A.","Regular",NA
"Santa Cruz Del Valle","Arenas De San Pedro","VAC-224","La Veloz, S.A.","Regular",NA
"Mombeltrán","Arenas De San Pedro","VAC-224","La Veloz, S.A.","Regular",NA
"Cuevas Del Valle","Arenas De San Pedro","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Guisando","Arenas De San Pedro","VACL-149","Muñoz Travel, S.L.","Regular",NA
"San Martín De La Vega","Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Navacepeda De Tormes","Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"San Miguel De Serrezuela","Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Gamonal De La Sierra","Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Pradosegar","Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Villatoro","Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Salobralejo","Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Blacha","Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Mengamuñoz","Ávila","VACL-149","Muñoz Travel, S.L.","Regular","IES Jorge Santayana E-IES Alonso Madrigal"
"Santa Cruz De Pinares","Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"San Estebán De Los Patos","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Riocabado","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Maello","Ávila","VACL-024","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Sigeres","Ávila","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Martiherrero","Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Riofrio","Ávila","VACL-035","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Aldea Del Rey Niño","Ávila","VACL-013","Autobuses Hermanos Rodríguez, S.A.","Regular",NA
"Navarredonda De Gredos","El Barco De Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"Navacepeda De Tormes","El Barco De Ávila","VACL-149","Muñoz Travel, S.L.","Regular",NA
"La Horcajada","Barco De Ávila","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Medinilla","El Barco De Ávila","VACL-044","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Navalguijo","Barco De Ávila","AECL-004","Pedro Pedro Autocares, S.L.","Regular",NA
"Santiago De Aravalle","Barco De Ávila","VAC-222","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"La Aldehuela","Barco De Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Puerto Castilla","Barco De Ávila","VAC-222","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cabizuela","Fontiveros","VACL-066","Navatour, S.L.","Regular",NA
"Serranillos","Navaluenga","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
